id,type_loi,numero_loi,texte_legal,texte_fr,explication,exemple,amende,points,peine_min_ans,peine_max_ans,prison_mois,suspension_mois
IS_064,القانون الجنائي,الفصل 111,تنقسم المخالفات في القانون المغربي إلى: المخالفات: غرامات فقط (300-5000 درهم).,Classification des infractions: Contraventions.,المخالفات هي أقل خطورة. العقوبات: غرامات فقط (300-5000 درهم).,مثال: مخالفة سير يعتبر المخالفات.,,,,,,
IS_065,القانون الجنائي,الفصل 111,تنقسم المخالفات في القانون المغربي إلى: الجنح: حبس أقل من 5 سنوات + غرامة.,Classification des infractions: Délits.,الجنح هي خطورة متوسطة. العقوبات: حبس أقل من 5 سنوات + غرامة.,مثال: سرقة بسيطة يعتبر الجنح.,,,,,,
IS_066,القانون الجنائي,الفصل 111,تنقسم المخالفات في القانون المغربي إلى: الجنايات: حبس أكثر من 5 سنوات أو إعدام.,Classification des infractions: Crimes.,الجنايات هي أشد خطورة. العقوبات: حبس أكثر من 5 سنوات أو إعدام.,مثال: قتل عمد يعتبر الجنايات.,,,,,,
IS_067,القانون الجنائي,الفصل 503-1,التحرش الجنسي وفق الفصل 503-1 من القانون الجنائي.,Le harcèlement sexuel (art. 503-1 CP) est puni de 6 mois à 3 ans de prison et d'une amende.,التحرش الجنسي جريمة يعاقب عليها بالحبس من 6 أشهر إلى 3 سنوات وغرامة من 10000 إلى 50000 درهم.,شخص تحرش بزميلته في العمل: حكم بالحبس سنة وغرامة 20000 درهم.,,,,,,
IS_068,القانون الجنائي,الفصل 503-1,التحرش الجنسي وفق الفصل 503-1 من القانون الجنائي.,Le harcèlement sexuel (art. 503-1 CP) est puni de 6 mois à 3 ans de prison et d'une amende.,التحرش الجنسي جريمة يعاقب عليها بالحبس من 6 أشهر إلى 3 سنوات وغرامة من 10000 إلى 50000 درهم.,شخص تحرش بزميلته في العمل: حكم بالحبس سنة وغرامة 20000 درهم.,,,,,,
IS_069,القانون الجنائي,الفصل 503-1,التحرش الجنسي وفق الفصل 503-1 من القانون الجنائي.,Le harcèlement sexuel (art. 503-1 CP) est puni de 6 mois à 3 ans de prison et d'une amende.,التحرش الجنسي جريمة يعاقب عليها بالحبس من 6 أشهر إلى 3 سنوات وغرامة من 10000 إلى 50000 درهم.,شخص تحرش بزميلته في العمل: حكم بالحبس سنة وغرامة 20000 درهم.,,,,,,
IS_070,القانون الجنائي,الفصل 300,السب والقذف وفق الفصل 300 من القانون الجنائي.,Injures et diffamation (art. الفصل 300 CP),جريمة السب والقذف يعاقب عليها بـالحبس من 3 أشهر إلى سنتين.,شخص أدين بـالسب والقذف وحكم عليه بـالحبس من 3 أشهر إلى سنتين.,,,,,,
IS_071,القانون الجنائي,الفصل 579,الإفلاس التدليسي وفق الفصل 579 من القانون الجنائي.,Banqueroute frauduleuse (art. الفصل 579 CP),جريمة الإفلاس التدليسي يعاقب عليها بـالسجن من سنة إلى 5 سنوات.,شخص أدين بـالإفلاس التدليسي وحكم عليه بـالسجن من سنة إلى 5 سنوات.,,,,,,
IS_072,القانون الجنائي,الفصل 540,إصدار شيك بدون رصيد وفق الفصل 540 من القانون الجنائي.,Émission de chèque sans provision (art. الفصل 540 CP),جريمة إصدار شيك بدون رصيد يعاقب عليها بـالحبس من سنة إلى 5 سنوات.,شخص أدين بـإصدار شيك بدون رصيد وحكم عليه بـالحبس من سنة إلى 5 سنوات.,,,,,,
IS_073,القانون الجنائي,الفصل 404,الغش التجاري وفق الفصل 404 من القانون الجنائي.,Fraude commerciale (art. الفصل 404 CP),جريمة الغش التجاري يعاقب عليها بـالحبس من 6 أشهر إلى 3 سنوات.,شخص أدين بـالغش التجاري وحكم عليه بـالحبس من 6 أشهر إلى 3 سنوات.,,,,,,
